region,district,population,income_per_capita,health_index,education_index,current_allocation,year
East,Kampala,1500000,850,0.75,0.82,25000000,2023
East,Jinja,450000,620,0.68,0.74,12000000,2023
East,Mbale,750000,480,0.62,0.65,8500000,2023
North,Gulu,380000,420,0.58,0.61,7200000,2023
North,Lira,510000,380,0.55,0.58,6800000,2023
West,Mbarara,520000,710,0.71,0.76,14000000,2023
West,Kasese,420000,520,0.64,0.67,9200000,2023
Central,Masaka,340000,590,0.66,0.69,8800000,2023
Central,Mukono,680000,540,0.63,0.66,10500000,2023
East,Soroti,290000,350,0.52,0.55,5500000,2023
North,Arua,320000,410,0.57,0.60,6900000,2023
West,Hoima,380000,620,0.68,0.72,11200000,2023
East,Tororo,280000,460,0.61,0.63,7100000,2023
North,Kitgum,210000,320,0.48,0.52,4800000,2023
Central,Wakiso,890000,780,0.73,0.78,18500000,2023
West,Kabale,190000,480,0.62,0.65,6200000,2023
East,Iganga,320000,420,0.58,0.61,6700000,2023
North,Moroto,140000,280,0.42,0.45,3500000,2023
West,Bundibugyo,230000,380,0.54,0.57,5200000,2023
Central,Mpigi,270000,520,0.64,0.67,7400000,2023
East,Busia,180000,390,0.56,0.59,5000000,2023
North,Adjumani,160000,310,0.47,0.50,4200000,2023
West,Kibaale,310000,450,0.60,0.63,6500000,2023
Central,Mityana,220000,470,0.61,0.64,6000000,2023
East,Pallisa,150000,340,0.51,0.54,4500000,2023
